Sample,Month,Lake,Leu,TdR,Leu:TdR,Leu_nM,TdR_nM,Year
EC958,February,Lake Erie,5.37E+02,5.71E+02,1.30E+01,4.19,0.31,2.02E+03
Keweenaw Waterway,February,Lake Superior,1.88E+02,5.26E+01,5.10E+01,1.46,0.03,2.02E+03
EC933,February,Lake Erie,1.16E+03,6.25E+02,2.60E+01,9.03,0.34,2.02E+03
EC888,February,Lake Erie,9.43E+02,5.99E+02,2.20E+01,7.35,0.33,2.02E+03
SCS1,February,Lake St. Clair,1.98E+02,2.45E+02,1.20E+01,1.54,0.13,2.02E+03
St_Martins_Bay,February,Lake Huron,5.00E+02,2.48E+02,2.90E+01,3.9,0.14,2.02E+03
Washburn,February,Lake Superior,4.13E+01,1.28E+02,4.60E+00,0.32,0.07,2.02E+03
LSC-MB,February,Lake St. Clair,2.78E+03,2.02E+03,2.00E+01,21.72,1.1,2.02E+03
1629_Suttons_Bay,February,Lake Michigan,1.07E+03,2.15E+02,7.10E+01,8.38,0.12,2.02E+03
CCIW,February,Lake Ontario,1.54E+03,4.78E+02,4.60E+01,11.98,0.26,2.02E+03
Racine,February,Lake Michigan,7.86E+02,2.58E+02,4.30E+01,6.13,0.14,2.02E+03
Queen's,February,Lake Ontario,5.36E+00,1.41E+02,5.40E-01,0.04,0.08,2.02E+03
Bay_of_Quinte,February,Lake Ontario,1.39E+01,2.63E+01,7.60E+00,0.11,0.01,2.02E+03
Keweenaw_Bay_Baraga,February,Lake Superior,8.75E+01,8.00E+01,1.60E+01,0.68,0.04,2.02E+03
M16,February,Lake NA,1.54E+02,2.78E+01,7.90E+01,1.2,0.02,2.02E+03
