Sampling_Site_Name,PI,Lake,Sampling_Dates,Month,Latitude° N,Longitude°W ,Sampling_Organization,CTD profile filename,Water_Depth_m,Water_samples_depth_m,Time_in,Time_out,Weather_conditions,Ice_Thickness_m,Ice_properties,Snow_Thickness_cm,LiCor_w_snow_air,LiCor_w_snow_0_m,LiCor_Under_ice,LiCor_w_snow_1_m,LiCor_w_snow_1.5_m,LiCor_w_snow_2_m,LiCor_w_snow_2.5_m,LiCor_w_snow_3_m,LiCor_w_snow_3.5_m,LiCor_w_snow_4_m,LiCor_w_snow_4.5_m,LiCor_w_snow_5_m,LiCor_w_snow_5.5_m,LiCor_w_snow_6_m,LiCor_w_snow_7_m,LiCor_w_snow_8_m,LiCor_w_snow_9_m,LiCor_w_snow_10_m,LiCor_no_snow_air,LiCor_no_snow_0_m,LiCor_no_snow_under_ice,Taxonomy_biomass depth_m,Taxonomy_biomass_tows,Trophic_ecology_depth_m,Trophic_ecology_tows,Notes
GB 32,Rae-Ann Eifert,Michigan,13-Mar-24,March,44.58152,-87.97967,Wisconsin DNR,Sent via email,NA,1,10:20,12:37,"Sunny.no wind, no waves, 43° F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-5,1,0-5,5,"Filter broke while filtering DOC, may have insufficient volume. Taxonomy/Biomass ample was exposed to sun longer (marked on bottle). Taxonomy/Biomass tows: 1 tow per pleiate??? Trophic ecology tows: 5 tows per replicate"
LSC-MB,McKay,St Clair,27-Feb-24,February,42.46891,-82.41095,GLIER,NA,1.25,0,11:03,11:32,"Cloudy 6/8, Breezy, 2.15° C",0.02,"Broken, Minimal, localized to the most inland part of the wharf",NA,495.7,406.1,NA,12.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LSC-MB=Mitchells Bay, Lake St. Clair. Need to look at again. LiCor data is confusing and needs explaining. Cond: 296 us/cm, 8.24 pH"
LM_Racine,Rae-Ann Eifert,Michigan,28-Feb-24,February,44.73758,-87.77717,Wisconsin DNR,Lm_racine_022824.csv,NA,0,9:00,9:30,"Windy, 19° F, Sunny, 20% cloud cover, waves crashing over break wall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Samples were taken using a bucket from the breakwall. Bucket was acid washed. 2 buckets were need to gather nessecary volume. Sample measurements were taken in bucket. No pipet so they used a syringe for microbial cell counts.
Keeweenaw Bay Baraga,Vick-Majors,Superior,2-Mar-24,March,46.77674,-88.48309,Great Lakes Research Center,NA,1,0,9:30,NA,"Sunny, 0.5 m/s (wind speed), 7.7° C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1,NA,NA,Taxonomy/Biomass tow was a horizantal tow (50% efficiency). 64um x 0.5m x 1.5m net
Washburn,Ozersky,Superior,20-Feb-24,February,46.67001,-90.884295,Large Lakes Observatory,NA,6,0,10:25,12:05,"Partly cloudy, low wind, 28° F",0.2,"Clear/black ice, starting to candle",NA,609.5,NA,365.6,251.5,212.3,193.89,167.06,135.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.5,NA,365.6,0-4,5,0-4,36,150ft away from shore and to north of fishing pier. Microbial sterivex: 300 mls filtered. Chl.a: 250 mls filtered. Phycocyanin: 400 mls. Part. CN&P: 350 mls filtered. 2 nets used to tows. Walked out on ice from Kayak launch. Used Li-192 light sensor.
1629,Uzarski,Michigan,4-Mar-24,March,NA,NA,CMU Wetland Ecology lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"list of analytes, bottle types, and quantities: microbial (cryovial,1), DOC (Amber Glass,1), EEMS (Amber Glass,1), Chl filter (foil,1), Phyco filter (foil,1), Nutrients (50mL Falcon tube, 4), Chloride (50mL Falcon tube, 2), DNA (50mL falcon tube,1), Zoop trpohic (50 mL falcon tube,1), Zoop Biomass (250 mL nalgene, 1)."
NW pier,Uzarski,Michigan,4-Mar-24,March,NA,NA,CMU Wetland Ecology lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"list of analytes, bottle types, and quantities: microbial (cryovial,1), DOC (Amber Glass,1), EEMS (Amber Glass,1), Chl filter (foil,1), Phyco filter (foil,1), Nutrients (50mL Falcon tube, 4), Chloride (50mL Falcon tube, 2), DNA (50mL falcon tube,1), Zoop trpohic (50 mL falcon tube,1), Zoop Biomass (250 mL nalgene, 1)."
Queen's Ontario,Boegman,Ontario,27-Feb-24,February,44.22061,-76.50165,CIGLR,012863_20240227_1023.xls and 012863_20240227_1042.xls,5,0,10:00,11:00,"7° C, wind: SSE 21 km/hr, 70% RH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chl.a: 100 mL. DNA: 240 mL. Did not have a luer lock but managed to set chl.a filter (Broke for phyco and PCN/PP. Sent 500 mL of raw water (4°C and packed in ice)
NA,Coleman,Michigan,27-Feb-24,February,41.79519,-87.57619,University of Chicago,NA,1.25,0.25,807,825,"12.22° C, windy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CCIW,Warren Currie,Ontario,26-Feb-24,February,43.29726,-79.80184,Canada Centre for Inland Waters,EXOSD_022624_DFO_BurPior.xlsx,8.2,0.25,1050,1150,"Sunny, 4° C, calm, 5 kts east, 20%light cloud??",NA,NA,NA,NA,653,NA,315,84.7,56.3,46,51.4,39,21.25,10.5,6.11,3.99,3.8,1.9,1.2,NA,NA,NA,NA,NA,0-7,1,0-7,2,2.7°C water temp (surface). Meter 22 and new 50 cm net. Start 203-217 for Kelly's (0-8m) Start: 220-236 in ethanol with alkaseltzer.
